PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
6648,CS-3700,40,20,Y,XX-0000,0,N
6656,JB-0600,57,37,Y,XX-0000,0,N
6660,CS-3700,38,36,N,AH-0200,2,N
6664,JB-0600,50,31,N,KW-1500,19,N
6678,JB-0600,47,47,N,KW-1500,0,N
6682,CS-3700,41,41,N,AH-0200,0,Y
6711,CS-3700,40,35,N,AH-0200,5,N
6731,CS-3700,36,36,N,AH-0200,0,Y
6766,CS-3700,45,45,N,AH-0200,0,N
6795,KR-0700,45,33,N,LS-0700,12,N
6813,KR-0700,39,8,N,JO-0400,31,N
6828,KR-0700,41,41,N,LS-0700,0,Y
6835,MT-2300,47,27,Y,XX-0000,0,N
6841,KR-0700,39,23,N,LS-0700,16,N
6851,MT-2300,44,24,Y,XX-0000,0,N
6904,MT-2300,54,34,Y,XX-0000,0,N
6927,TB-0600,50,50,N,WM-0400,0,N
6933,MK-1100,49,49,N,DS-0400,0,N
6947,MK-1100,52,32,Y,XX-0000,0,N
6953,TB-0600,48,40,N,JT-3900,8,N
6983,TB-0600,23,23,N,JT-3900,0,Y
6991,MK-1100,44,32,N,DS-0400,12,N
7001,TB-0600,36,30,N,JT-3900,6,N
7023,TB-0600,43,45,N,JT-3900,-2,N
7040,TB-0600,32,32,N,JT-3900,0,Y
7045,MK-1100,46,46,N,DS-0400,0,N
7051,TB-0600,47,47,N,JT-3900,0,Y
7074,MK-1100,41,41,N,DS-0400,0,Y
7101,SP-1400,54,9,N,AR-1700,45,N
7107,JB-3500,40,29,N,MC-1700,11,N
7111,SP-1400,46,26,Y,XX-0000,0,N
7128,SP-1400,39,39,N,AR-1700,0,Y
7163,SP-1400,48,48,N,AR-1700,0,Y
7169,JB-3500,41,41,N,XX-0000,0,N
7193,SP-1400,47,36,N,AR-1700,11,N
7209,SP-1400,54,48,N,AR-1700,6,N
7257,DS-4900,45,45,N,XX-0000,0,N
7283,DS-4900,40,40,N,AH-0200,0,N
7300,DS-4900,32,32,N,AH-0200,0,Y
7308,JB-0600,47,47,N,WO-0200,0,Y
7357,DS-4900,49,50,N,AH-0200,-1,N
7365,JB-0600,47,47,N,XX-0000,0,N
7374,DS-4900,41,41,N,AH-0200,0,Y
7402,JB-0600,34,14,Y,XX-0000,0,N
7427,DP-1700,51,28,N,JL-1600,23,N
7453,DP-1700,27,27,N,XX-0000,0,N
7522,DP-1700,34,34,N,XX-0000,0,N
7526,KR-0700,33,24,N,DG-2900,9,N
7553,DP-1700,34,20,N,JL-1600,14,N
7574,BB-1100,30,30,N,DH-4200,0,Y
7579,JJ-2300,49,47,N,GM-1100,2,N
7584,BB-1100,34,34,N,DH-4200,0,Y
7597,BB-1100,22,22,N,XX-0000,0,N
7605,JJ-2300,45,45,N,GM-1100,0,Y
7611,BB-1100,7,7,N,XX-0000,0,N
7615,JJ-2300,47,27,Y,XX-0000,0,N
7620,BB-1100,34,34,N,XX-0000,0,N
7624,JJ-2300,40,29,N,GM-1100,11,N
7632,JJ-2300,41,21,Y,XX-0000,0,N
7640,JJ-2300,38,18,Y,XX-0000,0,N
7647,BB-1100,35,13,N,DH-4200,22,N
7659,JJ-2300,50,50,N,XX-0000,0,N
7679,JJ-2300,20,20,N,XX-0000,0,N
7723,JJ-2300,40,29,N,GM-1100,11,N
7735,JJ-2300,40,24,N,GM-1100,16,N
7754,MK-1100,35,15,Y,XX-0000,0,N
7760,CS-3700,52,52,N,XX-0000,0,N
7765,MK-1100,60,45,N,KW-1500,15,N
7841,MK-1100,41,41,N,XX-0000,0,N
7936,TS-0500,59,35,N,DO-0200,24,N
7968,TS-0500,39,39,N,DO-0200,0,Y
8005,TS-0500,46,48,N,DO-0200,-2,N
8015,TR-0900,39,39,N,XX-0000,0,N
8019,TS-0500,55,40,N,DO-0200,15,N
8038,TR-0900,54,34,Y,XX-0000,0,N
8067,MT-2300,40,40,N,TB-3300,0,Y
